config_name,beats_spy_all_periods,composite_score,error_message,1y_strategy_return,1y_spy_return,1y_active_return,1y_information_ratio,1y_sharpe_ratio,1y_max_drawdown,1y_tracking_error,1y_num_rebalances
momentum_acceleration_long_lookback_days126_min_periods100_short_lookback_days63_top7_tier2_monthly,True,2.839391119837581,,0.41343682105635304,0.2318572574773965,0.18157956357895655,2.339391119837581,2.3007134053491525,-0.046453085181282,0.1039380548167511,18
momentum_acceleration_long_lookback_days126_min_periods100_short_lookback_days63_top7_tier4_monthly,True,2.839391119837581,,0.41343682105635304,0.2318572574773965,0.18157956357895655,2.339391119837581,2.3007134053491525,-0.046453085181282,0.1039380548167511,18
momentum_acceleration_long_lookback_days126_min_periods100_short_lookback_days63_top7_tier3_monthly,True,2.839391119837581,,0.41343682105635304,0.2318572574773965,0.18157956357895655,2.339391119837581,2.3007134053491525,-0.046453085181282,0.1039380548167511,18
momentum_acceleration_long_lookback_days126_min_periods50_short_lookback_days42_top5_tier2_monthly,True,2.795565437042855,,0.554893868257557,0.2318572574773965,0.32303661078016055,2.295565437042855,2.316179585053152,-0.07406451812075861,0.1374739367745708,18
momentum_acceleration_long_lookback_days126_min_periods50_short_lookback_days42_top5_tier3_monthly,True,2.795565437042855,,0.554893868257557,0.2318572574773965,0.32303661078016055,2.295565437042855,2.316179585053152,-0.07406451812075861,0.1374739367745708,18
momentum_acceleration_long_lookback_days126_min_periods50_short_lookback_days42_top5_tier4_monthly,True,2.795565437042855,,0.554893868257557,0.2318572574773965,0.32303661078016055,2.295565437042855,2.316179585053152,-0.07406451812075861,0.1374739367745708,18
momentum_acceleration_long_lookback_days126_min_periods100_short_lookback_days42_top5_tier2_monthly,True,2.795565437042855,,0.554893868257557,0.2318572574773965,0.32303661078016055,2.295565437042855,2.316179585053152,-0.07406451812075861,0.1374739367745708,18
momentum_acceleration_long_lookback_days126_min_periods100_short_lookback_days42_top5_tier3_monthly,True,2.795565437042855,,0.554893868257557,0.2318572574773965,0.32303661078016055,2.295565437042855,2.316179585053152,-0.07406451812075861,0.1374739367745708,18
momentum_acceleration_long_lookback_days126_min_periods100_short_lookback_days42_top5_tier4_monthly,True,2.795565437042855,,0.554893868257557,0.2318572574773965,0.32303661078016055,2.295565437042855,2.316179585053152,-0.07406451812075861,0.1374739367745708,18
momentum_acceleration_long_lookback_days126_min_periods100_short_lookback_days21_top3_tier2_monthly,True,2.7279455199182885,,0.6834535808925073,0.2318572574773965,0.4515963234151108,2.2279455199182885,2.269100817116335,-0.09523001528935095,0.16956791908917038,18
momentum_acceleration_long_lookback_days126_min_periods100_short_lookback_days21_top3_tier4_monthly,True,2.7279455199182885,,0.6834535808925073,0.2318572574773965,0.4515963234151108,2.2279455199182885,2.269100817116335,-0.09523001528935095,0.16956791908917038,18
momentum_acceleration_long_lookback_days126_min_periods100_short_lookback_days21_top3_tier3_monthly,True,2.7279455199182885,,0.6834535808925073,0.2318572574773965,0.4515963234151108,2.2279455199182885,2.269100817116335,-0.09523001528935095,0.16956791908917038,18
momentum_acceleration_long_lookback_days126_min_periods50_short_lookback_days21_top3_tier4_monthly,True,2.7279455199182885,,0.6834535808925073,0.2318572574773965,0.4515963234151108,2.2279455199182885,2.269100817116335,-0.09523001528935095,0.16956791908917038,18
momentum_acceleration_long_lookback_days126_min_periods50_short_lookback_days21_top3_tier3_monthly,True,2.7279455199182885,,0.6834535808925073,0.2318572574773965,0.4515963234151108,2.2279455199182885,2.269100817116335,-0.09523001528935095,0.16956791908917038,18
momentum_acceleration_long_lookback_days126_min_periods50_short_lookback_days21_top3_tier2_monthly,True,2.7279455199182885,,0.6834535808925073,0.2318572574773965,0.4515963234151108,2.2279455199182885,2.269100817116335,-0.09523001528935095,0.16956791908917038,18
momentum_lookback_days63_min_periods50_top5_tier2_monthly,True,2.5831170487725243,,0.5484481966519521,0.1488671718185468,0.3995810248334053,2.0831170487725243,2.322801477398879,-0.042187397654727864,0.18106840797323978,15
momentum_lookback_days63_min_periods50_top5_tier3_monthly,True,2.5831170487725243,,0.5484481966519521,0.1488671718185468,0.3995810248334053,2.0831170487725243,2.322801477398879,-0.042187397654727864,0.18106840797323978,15
momentum_lookback_days63_min_periods50_top5_tier4_monthly,True,2.5831170487725243,,0.5484481966519521,0.1488671718185468,0.3995810248334053,2.0831170487725243,2.322801477398879,-0.042187397654727864,0.18106840797323978,15
momentum_lookback_days63_min_periods30_top5_tier4_weekly,True,2.5807828719183017,,0.9062157534920097,0.22525706069221219,0.6809586927997975,2.0807828719183017,2.333183340156943,-0.15041493856352264,0.2694829975712774,66
momentum_lookback_days63_min_periods50_top5_tier4_weekly,True,2.5807828719183017,,0.9062157534920097,0.22525706069221219,0.6809586927997975,2.0807828719183017,2.333183340156943,-0.15041493856352264,0.2694829975712774,66
momentum_lookback_days63_min_periods50_top5_tier3_weekly,True,2.5807828719183017,,0.9062157534920097,0.22525706069221219,0.6809586927997975,2.0807828719183017,2.333183340156943,-0.15041493856352264,0.2694829975712774,66
momentum_lookback_days63_min_periods50_top5_tier2_weekly,True,2.5807828719183017,,0.9062157534920097,0.22525706069221219,0.6809586927997975,2.0807828719183017,2.333183340156943,-0.15041493856352264,0.2694829975712774,66
momentum_lookback_days63_min_periods15_top5_tier3_weekly,True,2.5807828719183017,,0.9062157534920097,0.22525706069221219,0.6809586927997975,2.0807828719183017,2.333183340156943,-0.15041493856352264,0.2694829975712774,66
